from_node,to_node,supply_share,transport_cost,lead_time_mean,lead_time_std,link_failure_prob
SUP_000,FAC_000,0.3782513162475561,169.1174157228162,2.8458453823486227,1.1659491923474163,0.025296412415049905
SUP_005,FAC_000,0.4933950547979499,210.83948874035372,7.243311684281299,0.84085595869357,0.017534043400071905
SUP_003,FAC_000,0.12835362895449418,101.50991284368888,1.0285440749019208,0.9105246658137902,0.047828930740862655
SUP_007,FAC_001,0.5775693398053591,136.6007084301536,7.600075429980972,2.4951280118304773,0.006519409444206329
SUP_003,FAC_001,0.42243066019464093,39.304923428931104,6.328391865837929,0.49011617868460383,0.020382928480335426
SUP_005,FAC_002,0.12355800887009022,77.31284766733962,3.9248543460718968,1.1534903037860595,0.009199122897058461
SUP_006,FAC_002,0.04352102030325297,135.53926212081024,1.5183910310067399,1.5351946933522447,0.008729218218073875
SUP_004,FAC_002,0.5025945602473465,125.52038261933899,6.955382880504098,0.8642313987167369,0.00872351855097945
SUP_002,FAC_002,0.33032641057931045,80.69841890847565,3.971494354411753,1.607980895478533,0.011818932367985575
SUP_009,FAC_003,0.3073283065535421,191.6964833557298,3.2536572566947726,0.6457274729104956,0.005571661199658419
SUP_000,FAC_003,0.2583465046180369,96.19169549715077,5.245535969878533,1.5029905518395943,0.04454672986549129
SUP_008,FAC_003,0.43432518882842086,184.6945562281592,4.475747026470565,0.48218936514883115,0.02752594708167937
SUP_006,FAC_004,0.39348441643669374,96.89888632563486,4.4044047654552205,2.227978767577254,0.033868707746844987
SUP_002,FAC_004,0.08248870119695609,184.22031277900564,4.518766286413188,1.4338704956995638,0.036445682997440894
SUP_000,FAC_004,0.4509821158847402,157.38813700909483,2.5363141995681633,2.331949892609073,0.01511031573585813
SUP_007,FAC_004,0.07304476648160986,149.92572924666507,3.536485422278643,0.8474530346739304,0.04969516972087993
FAC_003,DC_000,0.9999999999999999,164.0737496116696,6.268557306741707,1.034597565369654,0.0469924098873176
FAC_002,DC_001,0.03955610112110732,208.76923132209117,4.4717952807982355,0.9222719803322146,0.01770381042445822
FAC_001,DC_001,0.1102352842400712,108.02744713237668,5.481964643256207,2.3136760108047136,0.03863835900389236
FAC_003,DC_001,0.8502086146388216,195.3099203133245,6.3118470432759395,1.189902460606133,0.04790538596207057
FAC_004,DC_002,0.1263050967956764,132.1258123438426,4.3834473497523945,2.3019327104627934,0.027855896229627853
FAC_002,DC_002,0.8736949032043235,125.30037922855377,7.556493155519046,2.410642407607649,0.034331387354263165
FAC_000,DC_003,0.8597548959667869,60.85965093250222,2.115974227173028,1.3316322861775942,0.03376551414279102
FAC_001,DC_003,0.014132296041243234,23.269857625927557,1.8917528028342345,2.4075665617387756,0.032452084541709635
FAC_002,DC_003,0.12611280799197003,206.25525274561932,2.4761759547213513,2.0407567884999236,0.011584544537623098
FAC_003,DC_004,0.05069889745600819,125.2987313534987,5.8577084254844625,2.1483572833684175,0.03366555137458782
FAC_004,DC_004,0.607798119809157,185.35733166675476,7.8162230703564335,2.474586947546642,0.022671185530597708
FAC_001,DC_004,0.3415029827348348,64.56464039040726,7.039354418295059,0.9598470149112017,0.041280895496666824
FAC_003,DC_005,0.5019287217244681,81.45600105489856,1.8100889365199486,0.7679486653280814,0.008290128517785465
FAC_004,DC_005,0.11643422599776342,130.013890230875,6.557527674330692,1.7411559078247687,0.02296783715781367
FAC_000,DC_005,0.3816370522777684,175.87439308971003,3.9399336758000145,0.21592714928294082,0.023338575285828476
FAC_004,DC_006,0.17083764472446,206.483394640698,5.1139448924400694,2.1400725565616967,0.049035497082663894
FAC_000,DC_006,0.0252235749480579,123.00234552594088,1.7167188216909546,0.31247781039646516,0.04293519766900381
FAC_003,DC_006,0.8039387803274821,144.78549420727308,4.456713897277472,1.8785617663984848,0.005141756874440236
FAC_003,DC_007,0.09614116640347403,117.25498094441137,1.0450205146452944,1.7070840932115003,0.04923970555591982
FAC_001,DC_007,0.3876456717263221,104.21332333583683,1.8878282817896528,1.6649886130294067,0.024929995904519362
FAC_002,DC_007,0.5162131618702037,48.85953326080039,4.289941520199245,0.5348990472529419,0.041871962294499805
FAC_002,DC_008,1.0,39.426191246205576,1.588737145779112,2.1537945121545636,0.024575011594184102
FAC_003,DC_009,0.9999999999999999,63.54107826777026,7.373325628299191,0.46742915467766327,0.029193825139253476
DC_002,WAR_000,1.0,25.202917730455084,5.761382424332797,0.3108403608605851,0.020112467985704163
DC_004,WAR_001,0.27867101269484995,181.85425138813562,3.436522202162722,0.2767111045773395,0.014313337643283339
DC_005,WAR_001,0.7213289873051502,26.600074375514918,3.2535914295661126,1.4240410277691695,0.0204999727157689
DC_005,WAR_002,1.0,68.54789010387059,6.966632129252875,1.1409045610040516,0.014166233581564793
DC_005,WAR_003,0.6462688929884884,100.76795071539807,2.251319812639497,2.34421631503234,0.03416868388246064
DC_002,WAR_003,0.35373110701151167,41.91100169962883,2.425782341451934,1.1346791234355658,0.032205253533648504
DC_009,WAR_004,1.0,160.43086032517087,7.508128980169885,1.085746176029855,0.03679929183016206
