node_id,node_type,capacity,demand_mean,failure_prob,initial_inventory,reorder_point,target_stock,holding_cost,backorder_cost,k_fail,k_prevent,x,y
SUP_000,supplier,443.4890121389908,429.15599292099785,0.07827662837272575,540.356244694104,167.7511399428159,789.631246497474,0.20222794039807063,20.721286105539075,12046.249797155022,2977.122658425619,37.07980242325812,92.67649888486018
SUP_001,supplier,410.9662800201661,334.55254701917846,0.12050377745979131,384.8054953171892,212.21289206976027,431.9476722939478,0.21552623439851643,17.633287982441296,46694.82570469556,2449.892824714276,97.06980243949033,89.31211213221977
SUP_002,supplier,444.59587426844047,365.7631443703283,0.05141025786371643,367.3616835426062,176.18749747881566,687.5404714964183,0.19895243118156342,24.3501946486842,22920.394697598356,2537.5283831917786,46.95558112758079,18.94713590842857
SUP_003,supplier,282.4803763338679,207.32829679303384,0.08232754188485272,339.5098866420585,135.91418328429233,470.65257648380725,0.19005302040044986,11.247332827640822,50774.28907673606,4926.2039662324105,38.74783790301745,28.83281039302441
SUP_004,supplier,420.62387599374387,304.51739969410175,0.04537277319702408,338.35714865826276,246.5181111314844,644.345591399745,0.191033075725267,20.61458062043936,30240.367654608697,3628.0765777409156,13.979699812765745,11.453007353597345
SUP_005,supplier,417.1007404476179,358.34682875113367,0.08182058267574457,525.1295462799778,225.40770353104062,601.8194427764167,0.1618414321490827,11.079001961252244,6694.980901236668,2901.945640777993,21.45846728195292,40.852864372463614
SUP_006,supplier,463.35076831704157,311.17340886402593,0.05573334344518749,448.9082801898922,202.9838368812486,708.7103888453978,0.16140643046825567,20.67796418212827,41537.24471800632,2735.127737920388,81.40203846660347,16.697291990770392
SUP_007,supplier,255.67801828346512,234.52653256639385,0.039905264685320595,275.39752757933036,101.85740105972084,358.16292641923513,0.0804624205426337,18.92640750155472,29538.59515657169,2595.616743530654,30.151208914787652,63.028259311888846
SUP_008,supplier,340.4531526383476,236.15947733546477,0.03964149112477111,468.85117755748564,211.95735159674135,531.0271523418771,0.10317399229190392,24.38352754695448,47831.2997181187,4442.896040374476,44.93615021437887,27.224156184515902
SUP_009,supplier,274.0977405383748,224.38661430665545,0.1292862636198226,252.55859706556916,121.09281500316396,401.1079606364429,0.08535455658784635,22.13228568184751,46718.57414093656,4457.046257730152,43.20930397751037,62.73088407024432
FAC_000,factory,604.4342891194574,411.767473918442,0.0719877281243856,634.3443822205264,219.09791127046202,843.3022808487367,0.11597224246655707,7.890483777320938,10687.16322474034,3732.045146977416,17.05929685368861,92.51201183767972
FAC_001,factory,603.3713988951382,524.1117667697016,0.047749584362786965,490.9526412541584,384.6901536384926,836.1778784472749,0.20654704545005725,6.654599998448772,31766.208196098818,3198.888468949865,93.78264549749828,57.17280523760754
FAC_002,factory,565.7212903699339,437.1218259190757,0.04135805304735149,629.3103103276742,272.49291893405376,575.5024213439167,0.21525838483887155,22.923215436795335,12713.699894923593,3547.198789464772,10.857574113544356,67.22400930398116
FAC_003,factory,498.4318243436529,458.05286902157223,0.07275381077535215,628.6164824791368,190.56159339507104,863.6873884175199,0.09604279817897617,5.748251123523596,35516.88581653158,2540.072561243413,82.97897431324131,80.82514720643019
FAC_004,factory,510.99861248795037,387.15278442307783,0.0962319516055796,566.7149770240202,218.08885620840192,893.6521849065806,0.08292156351640363,5.89821238784658,28930.338300167088,5958.065602307104,89.1677266254914,74.86080194569492
DC_000,dc,517.2377472635575,435.50259362711785,0.09147573117582906,511.8364564492886,300.8274029156094,791.0266922335195,0.12473154577474202,6.889333361230305,46073.42862419643,1943.5328375757558,93.68131505337793,24.097057500568475
DC_001,dc,286.8273797234458,202.70526820957775,0.08648901376999249,260.31333923656035,151.9654015661804,487.5060505866451,0.08928693314291465,11.206473458001895,47757.26610326477,5845.0453433353205,50.07411862023423,14.389750255125078
DC_002,dc,254.18088631246047,177.61505071958058,0.038372482399908425,306.69343841571384,98.25355841180524,357.1403989411485,0.18885248712857733,16.62233218441805,15987.660841303168,4922.684894002445,71.54071296158017,73.89840039155418
DC_003,dc,289.317325467194,287.34943064414637,0.02990030429202757,300.4696161946609,127.3819650961916,402.4019888808323,0.1825728425527165,24.1124651409394,20754.542478513024,5586.446361216149,2.4859491386256316,55.51980423268247
DC_004,dc,440.1925335043255,308.9824306073514,0.028471792300060264,462.8486232321312,281.66580873422475,650.0913187720258,0.23660464432004225,21.087218312259417,30705.988085541034,4816.198970887031,1.7836783976987736,10.914399676573494
DC_005,dc,498.8285844648209,367.17628514359944,0.08374536706601295,557.9206937051558,265.27940876360924,845.1109796624787,0.17062143146774514,13.251431385473607,25580.122387395048,2842.3514750543045,65.19310255799742,86.7490631752325
