node_id,node_type,capacity,demand_mean,failure_prob,initial_inventory,reorder_point,target_stock,holding_cost,backorder_cost,k_fail,k_prevent,x,y,effective_capacity,delta,utilization,economic_severity,fragility,regime,degree_centrality,betweenness,pagerank,network_criticality
SUP_000,supplier,443.4890121389908,429.15599292099785,0.07827662837272575,540.356244694104,167.7511399428159,789.631246497474,0.20222794039807063,20.721286105539075,12046.249797155022,2977.122658425619,37.07980242325812,92.67649888486018,408.77418754839977,-20.38180537259808,0.9676812303672115,4.046272585733971,1.0,overloaded,0.02097902097902098,0.0,0.004749336453132632,0.45241379310344826
SUP_001,supplier,410.9662800201661,334.55254701917846,0.12050377745979131,384.8054953171892,212.21289206976027,431.9476722939478,0.21552623439851643,17.633287982441296,46694.82570469556,2449.892824714276,97.06980243949033,89.31211213221977,361.4432908691377,26.89074384995922,0.8140632535661125,19.059946310158058,0.03585418895170349,safe,0.0,0.0,0.0,0.17758620689655172
SUP_002,supplier,444.59587426844047,365.7631443703283,0.05141025786371643,367.3616835426062,176.18749747881566,687.5404714964183,0.19895243118156342,24.3501946486842,22920.394697598356,2537.5283831917786,46.95558112758079,18.94713590842857,421.7390857271555,55.97594135682721,0.8226867713790027,9.032566827397769,0.017551267713809767,safe,0.013986013986013986,0.0,0.004749336453132632,0.38965517241379305
SUP_003,supplier,282.4803763338679,207.32829679303384,0.08232754188485272,339.5098866420585,135.91418328429233,470.65257648380725,0.19005302040044986,11.247332827640822,50774.28907673606,4926.2039662324105,38.74783790301745,28.83281039302441,259.2244613195925,51.896164526558636,0.7339564591488271,10.306980674121078,0.01890496237204325,safe,0.013986013986013986,0.0,0.004749336453132632,0.38965517241379305
SUP_004,supplier,420.62387599374387,304.51739969410175,0.04537277319702408,338.35714865826276,246.5181111314844,644.345591399745,0.191033075725267,20.61458062043936,30240.367654608697,3628.0765777409156,13.979699812765745,11.453007353597345,401.53900426702654,97.02160457292479,0.7239660349157901,8.335096298722114,0.010201832589427095,safe,0.006993006993006993,0.0,0.004749336453132632,0.25689655172413794
SUP_005,supplier,417.1007404476179,358.34682875113367,0.08182058267574457,525.1295462799778,225.40770353104062,601.8194427764167,0.1618414321490827,11.079001961252244,6694.980901236668,2901.945640777993,21.45846728195292,40.852864372463614,382.9733148297093,24.626486078575624,0.8591373593980399,2.3070662686299617,0.039022127221571154,safe,0.013986013986013986,0.0,0.004749336453132632,0.38965517241379305
SUP_006,supplier,463.35076831704157,311.17340886402593,0.05573334344518749,448.9082801898922,202.9838368812486,708.7103888453978,0.16140643046825567,20.67796418212827,41537.24471800632,2735.127737920388,81.40203846660347,16.697291990770392,437.5266808108364,126.35327194681048,0.6715720144249544,15.186583113514295,0.007852173601143545,safe,0.013986013986013986,0.0,0.004749336453132632,0.38965517241379305
SUP_007,supplier,255.67801828346512,234.52653256639385,0.039905264685320595,275.39752757933036,101.85740105972084,358.16292641923513,0.0804624205426337,18.92640750155472,29538.59515657169,2595.616743530654,30.151208914787652,63.028259311888846,245.4751192896452,10.948586723251339,0.9172729597206866,11.380183623099995,0.08369190626152055,near_critical,0.013986013986013986,0.0,0.004749336453132632,0.38965517241379305
SUP_008,supplier,340.4531526383476,236.15947733546477,0.03964149112477111,468.85117755748564,211.95735159674135,531.0271523418771,0.10317399229190392,24.38352754695448,47831.2997181187,4442.896040374476,44.93615021437887,27.224156184515902,326.9570820096342,90.7976046741694,0.6936621837845907,10.765793141107837,0.010893530430880474,safe,0.006993006993006993,0.0,0.004749336453132632,0.25689655172413794
SUP_009,supplier,274.0977405383748,224.38661430665545,0.1292862636198226,252.55859706556916,121.09281500316396,401.1079606364429,0.08535455658784635,22.13228568184751,46718.57414093656,4457.046257730152,43.20930397751037,62.73088407024432,238.66066779753274,14.274053490877293,0.8186372272384361,10.48195855268709,0.06547050529823457,near_critical,0.006993006993006993,0.0,0.004749336453132632,0.25689655172413794
FAC_000,factory,604.4342891194574,411.767473918442,0.0719877281243856,634.3443822205264,219.09791127046202,843.3022808487367,0.11597224246655707,7.890483777320938,10687.16322474034,3732.045146977416,17.05929685368861,92.51201183767972,560.9224378452697,149.15496392682763,0.681244398821759,2.8636210988486765,0.006659786488892317,safe,0.04195804195804196,0.006450278985490253,0.010321205137599414,0.8867241379310344
FAC_001,factory,603.3713988951382,524.1117667697016,0.047749584362786965,490.9526412541584,384.6901536384926,836.1778784472749,0.20654704545005725,6.654599998448772,31766.208196098818,3198.888468949865,93.78264549749828,57.17280523760754,574.560665381502,50.44889861180036,0.8686387318481243,9.93038941633594,0.01943676204898659,safe,0.04195804195804196,0.005790219170500861,0.011427594043330542,0.8829310344827586
FAC_002,factory,565.7212903699339,437.1218259190757,0.04135805304735149,629.3103103276742,272.49291893405376,575.5024213439167,0.21525838483887155,22.923215436795335,12713.699894923593,3547.198789464772,10.857574113544356,67.22400930398116,542.324159232798,105.2023333137223,0.7726805290167443,3.584152073090308,0.009415988978754302,safe,0.06293706293706294,0.016839146768724233,0.013225001628431734,0.9644827586206897
